AGRI,Crop,GW,P,SSEBop,SW,URBAN,WS_PA,WS_PA_EA,YEAR
0.0042558666,0.0,0.064116,75.451004,380.0,0.1292146,0.1125054,1.0277218,-0.9961791,2002
0.015128795,0.0,0.0,40.986,5.0,0.00035073474,0.02955408,1.1294067,-1.0011699,2002
0.012323744,0.0,0.0,44.428,5.0,0.00022773525,0.025888404,1.1294067,-1.0011699,2002
0.012788918,0.0,0.0,50.117,76.0,0.00018347197,0.02106852,1.1294067,-1.0011699,2002
0.015733514,0.0,0.0,50.821,29.0,0.00020677644,0.016476389,1.1294067,-1.0011699,2002
0.019924073,0.0,0.0,46.385002,42.0,0.00029659682,0.013003034,1.1294067,-1.0011699,2002
0.028202564,0.0,0.0,53.205,16.0,0.0012992972,0.0097795585,1.1294067,-1.0011699,2002
0.027847553,0.0,0.0,59.188,8.0,0.0021050982,0.010622478,1.1294067,-1.0011699,2002
0.026401836,0.0,0.0,61.058,9.0,0.0033362436,0.012680927,1.1294067,-1.0011699,2002
0.02443737,0.0,0.0,62.492,39.0,0.005159996,0.016314503,1.1294067,-1.0011699,2002
0.02239628,0.0,0.0,71.716,11.0,0.007766115,0.021758204,1.1294067,-1.0011699,2002
0.020584224,0.0,0.0,77.39,177.0,0.011350762,0.029153075,1.1294067,-1.0011699,2002
0.01929926,0.0,1.8534458,82.365,66.0,0.016079755,0.038806226,1.1294067,-1.0011699,2002
0.01891645,0.0,0.0700344,86.106,33.0,0.022040877,0.051483154,1.1294067,-1.0011699,2002
0.01980245,0.0,0.0,91.258995,11.0,0.029190619,0.06852904,1.1294067,-1.0011699,2002
0.022094857,0.0,0.0,92.95,2.0,0.03730785,0.091577716,1.0168952,-1.0010151,2002
0.025476895,0.0,0.5686596,92.848,0.0,0.0459915,0.12205757,1.0168952,-1.0010151,2002
0.029115612,0.0,5.8671074,87.958,49.0,0.054613862,0.16080366,1.0168952,-1.0010151,2002
0.031875685,0.0,0.0,83.489,3.0,0.06245722,0.20798407,1.0168952,-1.0010151,2002
0.03274529,0.0,3.9559572,78.875,4.0,0.06877402,0.26318952,1.0168952,-1.0010151,2002
0.031273127,0.0,0.6165,75.149,5.0,0.07294636,0.3252499,1.0168952,-1.0010151,2002
0.027747393,0.0,22.726656,66.186,205.0,0.074582286,0.39163098,1.0168952,-1.0010151,2002
0.023034936,0.0,0.0,64.032,25.0,0.0736349,0.45781332,1.0168952,-1.0010151,2002
0.01820814,0.0,0.0,65.31,0.0,0.0704543,0.5172139,1.0168952,-1.0010151,2002
0.014200316,0.0,0.0,64.497,46.0,0.06577286,0.56212467,1.0168952,-1.0010151,2002
0.011597351,0.0,2.446272,64.109,174.0,0.060632925,0.585472,1.0168952,-1.0010151,2002
0.010578056,0.0,0.0,63.747997,11.0,0.05625426,0.58272177,1.0415046,-1.007762,2002
0.010905899,0.0,229.5121,66.544,35.0,0.053967386,0.5531978,1.0415046,-1.007762,2002
0.011985271,0.0,0.0,71.088,0.0,0.055061817,0.5003247,1.0415046,-1.007762,2002
0.013020448,0.0,0.0,82.039,340.0,0.0607129,0.43081713,1.0415046,-1.007762,2002
0.013290849,0.0,0.0,83.096,216.0,0.07192005,0.3530772,1.0277218,-0.9961791,2002
0.012423445,0.0,0.0,78.689,38.0,0.08945647,0.2753655,1.0277218,-0.9961791,2002
0.01051247,0.0,0.0,72.706,71.0,0.11381258,0.20429337,1.0277218,-0.9961791,2002
0.008019944,0.0,51.918175,67.744,43.0,0.14511763,0.14406002,1.0277218,-0.9961791,2002
0.0055083777,0.0,0.0,92.622,304.0,0.18303475,0.09640754,1.0277218,-0.9961791,2002
